"CODETYPE","SOURCEVALUE","TARGETVALUE","DESCRIPTION","NUMCODE","RANK","NUMERIC1"
5501,"160","130","Not Achieved - entered custody",0,0,0
5501,"170","130","Not Achieved - revoked early for good progress",0,0,0
5501,"R","100","Not Started",0,0,0
5501,"RI","110","Fully achieved",0,0,0
5501,"RII","120","Ongoing",0,0,0
5501,"RIII","130","Not Achieved",0,0,0
5501,"RIIIB","150","No Longer Applicable / Required",0,0,0
5504,"ACCOMMODATION","3","Accommodation",0,0,0
5504,"ALCOHOL_MISUSE","9","Alcohol misuse",0,0,0
5504,"ATTITUDES","12","Attitudes",0,0,0
5504,"DRUG_MISUSE","8","Drug misuse",0,0,0
5504,"EDUCATION_TRAINING_AND_EMPLOYABILITY","4","Education, training and employability",0,0,0
5504,"EMOTIONAL_WELLBEING","10","Emotional wellbeing",0,0,0
5504,"FINANCIAL_MANAGEMENT_AND_INCOME","5","Financial management and income",0,0,0
5504,"LIFESTYLE_AND_ASSOCIATES","7","Lifestyle and associates",0,0,0
5504,"PHYSICAL_HEALTH_IMMEDIATE_ISSUES","13","Physical health immediate issues",0,0,0
5504,"RELATIONSHIPS","6","Relationships",0,0,0
5504,"RISK_MANAGEMENT","14","Risk Management",0,0,0
5504,"THINKING_AND_BEHAVIOUR","11","Thinking and behaviour",0,0,0
5506,"ARV","2460","Alcohol Related Violence Programme",0,0,0
5506,"BLANK","1980","Other non-accredited Programmes",0,0,0
5506,"IV1","100","Aggression Replacement Training (ART)",0,0,0
5506,"IV10","190","One to One Programme",0,0,0
5506,"IV11","200","Programme for Reducing Individual's Substance Misuse (PRISM)",0,0,0
5506,"IV12","210","Rehabilitation for Accredited Prisoners trust (RAPt)",0,0,0
5506,"IV13","220","Reasoning and Rehabilitation",0,0,0
5506,"IV14","230","Sex Offender Treatment Programme (SOTP) Booster",0,0,0
5506,"IV15","240","Sex Offender Relapse Prevention",0,0,0
5506,"IV16","250","Sex Offender Treatment Programme (SOTP",0,0,0
5506,"IV17","260","Extended SOTP",0,0,0
5506,"IV18","270","Rolling SOTP",0,0,0
5506,"IV19","280","Substance Misuse *",0,0,0
5506,"IV2","110","Addressing Substance Related Offending (ASRO)",0,0,0
5506,"IV20","290","Thames Valley - Sex Offender Groupwork Programme (TV-SOTP)",0,0,0
5506,"IV21","300","Think First",0,0,0
5506,"IV22","310","Community - Sex Offender Groupwork Programme (C-SOGP)",0,0,0
5506,"IV23","320","Women's Programme",0,0,0
5506,"IV24","1690","Northumbria - Sex Offender Group Programme (N--SOGP)",0,0,0
5506,"IV25","1700","Cognitive Skills Booster (CSB)",0,0,0
5506,"IV26","1710","Violence Booster",0,0,0
5506,"IV27","1720","Offender Substance Abuse Programme (OSAP)",0,0,0
5506,"IV28","1730","Integrated Domestic Abuse (IDAP)",0,0,0
5506,"IV29","1740","Community Domestic Violence Programme (CDVP)",0,0,0
5506,"IV3","120","Controlling Anger & Learning how to Manage it (CALM)",0,0,0
5506,"IV30","1750","Choices (Drug Programme)",0,0,0
5506,"IV31","1760","Healthy Relationships Programme (HRP)",0,0,0
5506,"IV32","1770","Becoming New Me (Adapted SOTP)",0,0,0
5506,"IV33","1780","Prisons - Addressing Substance Related Offending (P-ASRO)",0,0,0
5506,"IV34","1790","The Prisons Partnership 12 Step Programme",0,0,0
5506,"IV35","1800","Ley Prison Programme (Drugs)",0,0,0
5506,"IV36","1810","FOCUS",0,0,0
5506,"IV37","1820","Substance Treatment Offending Programme (STOP)",0,0,0
5506,"IV38","1830","Action on Drugs",0,0,0
5506,"IV39","1840","Prison Service Drugs Therapeutic Community Programme",0,0,0
5506,"IV4","130","Cognitive Self Change Programme (CSCP) Blocks 1-5",0,0,0
5506,"IV40","1990","Healthy Sexual Functioning",0,0,0
5506,"IV41","2000","Low Intensity Alcohol Programme (LIAP)",0,0,0
5506,"IV42","2010","Democratic Therapeutic Community Core Model",0,0,0
5506,"IV43","2020","Chromis",0,0,0
5506,"IV44","2030","Short Duration Programme (SDP)",0,0,0
5506,"IV46","910","Womens Acquisitive Crime",0,0,0
5506,"IV47","920","COVAID",0,0,0
5506,"IV48","930","Thinking Skills Programme",0,0,0
5506,"IV49","2440","Internet Sex Offender Treatment Programme (i-SOTP)",0,0,0
5506,"IV5","140","Cognitive Self Change Programme (CSCP) Block 6",0,0,0
5506,"IV50","2450","Choices Actions Relationships Emotions (CARE)",0,0,0
5506,"IV51","725","Building Better Relationships (BBR)",0,0,0
5506,"IV52","726","Resolve",0,0,0
5506,"IV53","880","Self-Change Programme (SCP)",0,0,0
5506,"IV54","3030","A>Z",0,0,0
5506,"IV55","3040","Adapted Better Lives Booster Sexual Offender Treatment Programme (ABLB)",0,0,0
5506,"IV56","3050","Alcohol Related Violence Programme (ARV)",0,0,0
5506,"IV57","3060","Becoming New Me Adapted Sexual Offending Treatment Programme (BNM)  2009 and 2011 versions",0,0,0
5506,"IV58","3070","Better Lives Booster Sexual Offender Treatment Programme (BLB)",0,0,0
5506,"IV59","724","Building Skills for Recovery (BSR)",0,0,0
5506,"IV6","150","Drink Impaired Drivers (DIDS)",0,0,0
5506,"IV60","3090","Focus on Resettlement (FOR)",0,0,0
5506,"IV61","3100","Healthy Identity Intervention (HII)",0,0,0
5506,"IV62","3110","Living as New Me Adapted Sexual Offending Treatment Programme (LNM)",0,0,0
5506,"IV63","3120","New Me Coping Adapted Sexual Offending Treatment Programme (NMC)",0,0,0
5506,"IV64","3130","Healthy Sex Programme (HSP)",0,0,0
5506,"IV65","3140","Low Intensity Programme (LI SOTP)",0,0,0
5506,"IV66","3150","High Intensity Programme (HI SOTP)",0,0,0
5506,"IV67","3160","Kaizen",0,0,0
5506,"IV68","3170","Horizon",0,0,0
5506,"IV7","160","Enhanced Thinking Skills (ETS)",0,0,0
5506,"IV8","170","Focus on Violence (FOV) *",0,0,0
5506,"IV9","180","McGuire Problem Solving",0,0,0
5506,"IV99","1850","Other Accredited Programme",0,0,0
5506,"KAINOS","2470","KAINOS accredited programme",0,0,0
5506,"UW","2040","Unpaid Work",0,0,0
5506,"V1","340","Accommodation advocacy",0,0,0
5506,"V2","350","Employment advocacy",0,0,0
5506,"V3","360","Finance advocacy",0,0,0
5506,"V4","370","Substance Abuse *",0,0,0
5506,"V5","380","Health advocacy",0,0,0
5506,"V6","390","Family Issues advocacy",0,0,0
5506,"V7","400","Community Integration advocacy",0,0,0
5506,"V8","1860","Alcohol advocacy",0,0,0
5506,"V9","1870","Drugs advocacy",0,0,0
5506,"V99","1880","Other advocacy",0,0,0
5506,"VI1","420","Debt counselling",0,0,0
5506,"VI10","1910","Other addiction counselling",0,0,0
5506,"VI11","1920","Case Management 1 to 1 counselling",0,0,0
5506,"VI12","1930","Motivational work counselling",0,0,0
5506,"VI2","430","Addiction counselling *",0,0,0
5506,"VI3","440","Victim Awareness Counselling",0,0,0
5506,"VI4","450","Offender Centered counselling",0,0,0
5506,"VI5","460","Relationships with partner counselling",0,0,0
5506,"VI6","470","Other family relationships counselling",0,0,0
5506,"VI7","480","Bereavement / Grief counselling",0,0,0
5506,"VI8","1890","Alcohol counselling",0,0,0
5506,"VI9","1900","Drug counselling",0,0,0
5506,"VI99","1940","Other counselling",0,0,0
5506,"VII1","500","Psychiatric",0,0,0
5506,"VII2","510","Psychological Intervention",0,0,0
5506,"VII3","520","Mental health",0,0,0
5506,"VII4","530","Therapeutic Community",0,0,0
5506,"VII5","540","Racially motivated offending work",0,0,0
5506,"VII6","550","Integrated Drug treatment",0,0,0
5506,"VII7","1950","Alcohol treatment",0,0,0
5506,"VII8","1960","CARATS",0,0,0
5506,"VII99","1970","Other Specialist Intervention",0,0,0
5506,"VIII1","570","Basic skills",0,0,0
5506,"VIII10","2410","Guided Skills Learning",0,0,0
5506,"VIII11","2420","Pro-Social Modelling",0,0,0
5506,"VIII12","2430","Problem Solving at Work",0,0,0
5506,"VIII2","580","Budgetary/financial management",0,0,0
5506,"VIII3","590","Lifeskills",0,0,0
5506,"VIII4","600","Thinking skills - cognitive behavioural",0,0,0
5506,"VIII5","610","Thinking skills - sexual",0,0,0
5506,"VIII6","620","Thinking skills - violence",0,0,0
5506,"VIII7","630","Relapse prevention",0,0,0
5506,"VIII8","640","Vocational skills",0,0,0
5506,"VIII9","650","Citizenship programme",0,0,0
5506,"VIII99","1980","Other non-accredited Programmes",0,0,0
5507,"CACD","COA","Court Of Appeal Criminal Division",0,0,0
5507,"IMM","IMM","Immigration",0,0,0
5507,"CC","CRN","Crown Court",0,0,0
5507,"CO","COU","County Court",0,0,0
5507,"GCM","CMT","Courts Martial",0,0,0
5507,"MC","MAG","Magistrates Court",0,0,0
5507,"OTHER","OTH","Other",0,0,0
5507,"YC","YTH","Youth Court",0,0,0
5507,"DIS","DIS","District Court (Scottish)",0,0,0
5507,"HGH","HGH","High Court (Scottish)",0,0,0
5507,"OEW","OEW","Court Outside England/Wales",0,0,0
5507,"SHF","SHF","Sherriff's Court (Scottish)",0,0,0
3802,"101","820","Adjourned - PSR",0,0,0
3802,"102","1000","Adjourned - Other Report",0,0,0
3802,"103","810","Adjourned - Non-Attendance",0,0,0
3802,"104","800","Adjourned Other Reason",0,0,0
3802,"105","830","Committed to Crown Court",0,0,0
3802,"106","1030","Transferred to Crown Court",0,0,0
3802,"107","1040","Adjourned for Sentence",0,0,0
3802,"108","1050","Warrant with Bail",0,0,0
3802,"109","1060","Warrant without Bail",0,0,0
3802,"110","1070","No Specific Proposal (Migrated Data)",0,0,0
3802,"111","1010","Adjourned For Reports",0,0,0
3802,"112","1020","Remanded In Custody",0,0,0
3802,"113","1810","Final Review",0,0,0
3802,"190","1080","Bail/Case dealt with",0,0,0
3802,"191","1090","Bail/Unconditional",0,0,0
3802,"192","1100","Bail/Conditional",0,0,0
3802,"193","1110","Bail/No Bail",0,0,0
3802,"201","910","CJA2003 - Community Order",0,0,0
3802,"202","950","CJA2003 - Deferred Sentence",0,0,0
3802,"203","960","CJA2003 - Suspended Sentence Order",0,0,0
3802,"204","970","Youth Rehabilitation Order",0,0,0
3802,"205","130","Community Rehabilitation order",0,0,0
3802,"206","120","Community Punishment Order",0,0,0
3802,"207","180","CPRO",0,0,0
3802,"208","460","Drug Treatment and testing Order - Lower",0,0,0
3802,"209","490","Drug Treatment and testing order - Higher",0,0,0
3802,"210","240","Drug abstinence order",0,0,0
3802,"211","110","C & YP Act 1969 supervision order",0,0,0
3802,"212","1120","Enforcement Order (Pre-CJA)",0,0,0
3802,"213","170","CPO for persistent petty offenders",0,0,0
3802,"214","160","CPO for fine defaulters",0,0,0
3802,"215","450","+CPO hours for breach code 5",0,0,0
3802,"216","400","SSSO",0,0,0
3802,"217","320","Money payment supervision order",0,0,0
3802,"218","190","Curfew Order",0,0,0
3802,"219","550","Action Plan Order CDA1998 S69",0,0,0
3802,"220","370","Reparation order",0,0,0
3802,"221","560","Parenting Order CDA1998 S8",0,0,0
3802,"222","150","CPO component of CPRO",0,0,0
3802,"223","1130","Community Rehabilitation component of CPRO",0,0,0
3802,"224","510","Fam Assist Order Ch/Act 1989",0,0,0
3802,"224A","530","Family Assistance Order",0,0,0
3802,"225","520","Care & Sup'n Order Ch/Act 1989",0,0,0
3802,"226","1140","CJA Enforcement Order (C&AA 06)",0,0,0
3802,"227","1150","Intensive Alternative to Custody",0,0,0
3802,"228","1160","Intensive Supervision and Control",0,0,0
3802,"229","1170","Supervision and Control (Suspended Sentence)",0,0,0
3802,"230","1180","Sentenced in Migrated Data",0,0,0
3802,"231","1800","CJA - Suspended SO (unsupervised)",0,0,0
3802,"232","3020","SUPERVISION ORDER ? INSANITY ACT",0,0,0
3802,"233","233","ORA Supervision Default Order",0,0,0
3802,"235","3030","Scottish community payback order",0,0,0
3802,"242","3040","Special Cust Sentence (S236aCJA)",0,0,0
3802,"301","920","CJA2003-Standard Determinate Sentence >12 months",0,0,0
3802,"302","940","CJA2003 - Extended Public Protection",0,0,0
3802,"303","930","CJA2003 - Indeterminate Public Protection",0,0,0
3802,"304","210","Custody (4+ years - DCR)",0,0,0
3802,"305","440","YOI (up to 1 year)",0,0,0
3802,"306","430","YOI (over 1 year)",0,0,0
3802,"307","1190","Adult Custody (voluntary supervision)",0,0,0
3802,"308","310","Life",0,0,0
3802,"309","860","Other",0,0,0
3802,"310","1200","Life imprisonment (Youth)",0,0,0
3802,"311","260","Extended sentence (pre Oct 1992)",0,0,0
3802,"312","350","Parole (before October 1992)",0,0,0
3802,"313","610","Psych Hosp Order (Non-Prob)",0,0,0
3802,"314","1210","Restriction Order (s.41 MHA83)",0,0,0
3802,"315","280","Extended sup. (Sex) Pre Oct 1998",0,0,0
3802,"316","270","Extended sup. (Sex) Post Oct 1998",0,0,0
3802,"317","290","Extended sup. (Violence) ",0,0,0
3802,"318","230","Detention and training order",0,0,0
3802,"319","1220","Return to prison (S.105 C&DA)",0,0,0
3802,"320","470","Intermittent Weekday Custody",0,0,0
3802,"321","480","Intermittent Weekend Custody",0,0,0
3802,"322","1230","Disc Release (parole) Adult and Youth",0,0,0
3802,"323","1240","CJA - Custody Plus",0,0,0
3802,"324","1790","Extended Determinate Sentence",0,0,0
3802,"325","325","ORA Adult Custody (inc PSS)",0,0,0
3802,"326","326","ORA Breach Committal",0,0,0
3802,"327","327","ORA Adult Custody (not PSS)",0,0,0
3802,"328","328","ORA Youth Custody (inc PSS)",0,0,0
3802,"329","329","ORA Community Order",0,0,0
3802,"330","3010","ORA Suspended Sentence Order",0,0,0
3802,"331","331","ORA Youth Rehabilitation Order",0,0,0
3802,"401","1250","Imprisonment - No Supervision",0,0,0
3802,"402","1260","CJA - Trans Custody - Adult",0,0,0
3802,"403","1270","CJA - Trans Custody - Youth",0,0,0
3802,"404","330","Non statutory order",0,0,0
3802,"404A","420","Voluntary supervision",0,0,0
3802,"405","1280","Anti-Social Behaviour Order",0,0,0
3802,"406","300","Fine",0,0,0
3802,"407","570","Deferred Sentence",0,0,0
3802,"408","410","Suspended Sentence",0,0,0
3802,"409","1290","Sex Offences Prevention Order",0,0,0
3802,"410","1300","Disqualification Order",0,0,0
3802,"411","1310","Confiscation/Forfeiture",0,0,0
3802,"412","100","Absolute Discharge",0,0,0
3802,"412A","850","Conditional Discharge",0,0,0
3802,"413","630","Bound Over",0,0,0
3802,"414","1320","Parents Bound Over",0,0,0
3802,"415","1330","Parents Pay Fine/Comp/Costs",0,0,0
3802,"416","1340","Compensation",0,0,0
3802,"417","1350","Restitution Order",0,0,0
3802,"418","1360","Secure Training Order",0,0,0
3802,"419","340","Detention Centre",0,0,0
3802,"420","1370","Football - Restrictn/Exclusion",0,0,0
3802,"421","1380","Remitted",0,0,0
3802,"422","1390","Withdrawn",0,0,0
3802,"423","1400","Stayed",0,0,0
3802,"424","1410","Lie on File",0,0,0
3802,"425","640","Not Guilty",0,0,0
3802,"426","1420","Unfit to Plead",0,0,0
3802,"427","1430","Not Guilty - Insanity",0,0,0
3802,"428","840","Imprisonment - Fine - Fine Default &c",0,0,0
3802,"429","1440","One Day Imprisonment",0,0,0
3802,"430","620","Attendance Centre Order",0,0,0
3802,"497","3000","Conc/Consec Adult Custody <12 mths",0,0,0
3802,"499","860","Other",0,0,0
3802,"501","1450","Breach - Revoked & Re-Sentenced",0,0,0
3802,"502","1460","Breach - Revoked Good Progress",0,0,0
3802,"503","1470","Breach - Continued/No action",0,0,0
3802,"504","1480","Breach - Amended & Continued",0,0,0
3802,"505","670","Fine/Order Allowed to Continue",0,0,0
3802,"506","1490","Breach - Continued/Att Centre",0,0,0
3802,"507","1500","Breach - Recalled to Prison",0,0,0
3802,"508","1510","Breach - Cond Discharge Substtd",0,0,0
3802,"509","1520","Breach - Withdrawn",0,0,0
3802,"510","1530","Breach - Revoked/Discharged NFA",0,0,0
3802,"601","1540","CtsMtl - Death",0,0,0
3802,"602","1550","CtsMtl - Detention/HM Pleasure",0,0,0
3802,"603","1560","CtsMtl - Detention - Sec State",0,0,0
3802,"604","1570","CtsMtl - Detention Cust Order",0,0,0
3802,"605","1580","CtsMtl - Dismissal w Disgrace",0,0,0
3802,"606","1590","CtsMtl - Dismissal from Service",0,0,0
3802,"607","1600","CtsMtl - Detention CTC",0,0,0
3802,"608","1610","CtsMtl - Forfeiture Seniority",0,0,0
3802,"609","1620","CtsMtl - Dismissal Ship/Estab",0,0,0
3802,"610","1630","CtsMtl - Reduction to Ranks",0,0,0
3802,"611","1640","CtsMtl - Dismissal TA/RAAF",0,0,0
3802,"612","1650","CtsMtl - Severe Reprimand",0,0,0
3802,"613","1660","CtsMtl - Reprimand",0,0,0
3802,"614","1670","CtsMtl - Stoppage of Pay",0,0,0
3802,"615","1680","CtsMtl - Order for Restitution",0,0,0
3802,"701","1690","Sentence Quashed",0,0,0
3802,"702","1700","Order to Continue",0,0,0
3802,"703","1710","Resentenced on Appeal",0,0,0
3802,"704","1820","Sentence Varied",0,0,0
3802,"801","1720","Revoked & Re-Sentenced",0,0,0
3802,"802","1730","Revoked Good Progress",0,0,0
3802,"803","660","Continued/No action",0,0,0
3802,"804","1740","Amended & Continued",0,0,0
3802,"805","1750","Continued/Fine",0,0,0
3802,"806","1760","Continued/Att Centre",0,0,0
3802,"807","1770","Cond Discharge Substtd",0,0,0
3802,"808","1780","Withdrawn",0,0,0
3802,"809","650","Revoked/Discharged NFA",0,0,0
3802,"OU01","380","Section 40 Licence",0,0,0
3802,"OU06","1830","Sentence Terminated Pre-Migration",0,0,0
3802,"OU07","1840","Adult Custody Consecutive",0,0,0
3802,"OU08","1850","Adult Custody Concurrent",0,0,0
3802,"OU09","1860","ICMS Miscellaneous Event",0,0,0
3802,"OU10","770","Youth Custody Consecutive",0,0,0
3802,"OU11","760","Youth Custody Concurrent",0,0,0
3802,"OU12","1870","Non-Appearance Breach Warrant",0,0,0
3802,"OU13","1880","Non-Appearance Warrant",0,0,0
3802,"OU14","1890","Borstal",0,0,0
3802,"OU15","1900","Youth Custody (migration)",0,0,0
3802,"OU16","1910","Initial Court Review Requested",0,0,0
3802,"OU17","1920","Adjourned for Next Court Review",0,0,0
3802,"OU18","1930","No Further Review Requested",0,0,0
3802,"OU19","1940","Post Release Voluntary Supervision",0,0,0
3802,"OU20","1950","Approved Premises Residence",0,0,0
3802,"OU21","1960","Adult Custody (Migration)",0,0,0
3802,"OU22","1970","Detained - S.53(1) or S.91",0,0,0
3802,"OU23","390","Detained - S.53(2) or S.91",0,0,0
3802,"OU24","1980","ASPOS Case (Not Selectable - Historic) ",0,0,0
3802,"OU25","1990","Approved Premises Referral",0,0,0
3802,"OU26","2000","Historic Breach Outcome",0,0,0
3802,"OU27","2010","Deportation Recommended",0,0,0
3802,"OU28","500","Supervision Order - Adoption Act 1976 ",0,0,0
3802,"OU29","900","Supervision Order - Childrens Act 1975",0,0,0
3802,"OU30","540","Supervision Order - Family Courts",0,0,0
3802,"OU31","870","Supervision Order - Matrimonial Proc",0,0,0
3802,"OU32","890","Supervision Order - Wardship",0,0,0
3802,"OU33","2020","Grant Parole",0,0,0
3802,"OU34","2030","Guardianship Order MHA1983 S37",0,0,0
3802,"OU35","2040","Guardianship Order MHA1983 S37 - No Conv",0,0,0
3802,"OU36","880","Guardianship Supervision Order",0,0,0
3802,"OU37","2050","Guardianship of Minors Supervision Order",0,0,0
3802,"OU38","250","DTTO - intensity not specified",0,0,0
3802,"OU39","2060","28 Day Bail Assessment for DTTO",0,0,0
3802,"OU40","2070","Bail Assessment for Mental Health Institution",0,0,0
3802,"OU41","2080","Migrated Drug Test Event",0,0,0
3802,"OU42","2090","IIMS IOM Referrals",0,0,0
13,"6166","A","CATEGORY A",0,0,0
13,"6167","F","FEMALE NON CATEGORY A",0,0,0
13,"6168","B","CATEGORY B",0,0,0
13,"6170","C","CATEGORY C",0,0,0
13,"6172","D","CATEGORY D",0,0,0
13,"6174","E","EXCEPTIONALLY HIGH RISK CATEGORY A",0,0,0
13,"6178","H","HIGH RISK CATEGORY A",0,0,0
13,"6180","I","YOI CLOSED",0,0,0
13,"6182","J","YOI OPEN",0,0,0
13,"6184","K","YOI SHORT-SENTENCE",0,0,0
13,"6186","L","YOI LONG-TERM CLOSED",0,0,0
13,"6188","M","INTERMITTENT CUSTODY",0,0,0
13,"6190","P","PROVISIONAL CATEGORY A",0,0,0
13,"6192","U","CAT U UNSENTENCED MALE REMANDS",0,0,0
13,"6194","X","NOT CATEGORISED SENTENCED MALE",0,0,0
13,"6198","F","FEMALE NON CATEGORY A",0,0,0
13,"6200","F","FEMALE NON CATEGORY A",0,0,0
13,"6202","F","FEMALE NON CATEGORY A",0,0,0
13,"6204","F","FEMALE NON CATEGORY A",0,0,0
13,"6206","K","YOI SHORT-SENTENCE",0,0,0
13,"A","A","CATEGORY A",0,0,0
13,"B","B","CATEGORY B",0,0,0
13,"C","C","CATEGORY C",0,0,0
13,"D","D","CATEGORY D",0,0,0
13,"E","E","EXCEPTIONALLY HIGH RISK CATEGORY A",0,0,0
13,"F","F","FEMALE NON CATEGORY A",0,0,0
13,"H","H","HIGH RISK CATEGORY A",0,0,0
13,"I","I","YOI CLOSED",0,0,0
13,"J","J","YOI OPEN",0,0,0
13,"K","K","YOI SHORT-SENTENCE",0,0,0
13,"L","L","YOI LONG-TERM CLOSED",0,0,0
13,"M","M","INTERMITTENT CUSTODY",0,0,0
13,"P","P","PROVISIONAL CATEGORY A",0,0,0
13,"Q","F","FEMALE NON CATEGORY A",0,0,0
13,"R","F","FEMALE NON CATEGORY A",0,0,0
13,"S","F","FEMALE NON CATEGORY A",0,0,0
13,"T","F","FEMALE NON CATEGORY A",0,0,0
13,"U","U","CAT U UNSENTENCED MALE REMANDS",0,0,0
13,"V","K","YOI SHORT-SENTENCE",0,0,0
13,"X","X","NOT CATEGORISED SENTENCED MALE",0,0,0
34,"ARD","ARD","AUTOMATIC RELEASE DATE",0,0,0
34,"CRD","CRD","CONDITIONAL RELEASE DATE",0,0,0
34,"ETD","AETD1","APPROVED 1 MONTH EARLY TRANSFER",0,0,0
34,"LTD","ALTD1","APPROVED 1 MONTH LATE TRANSFER",0,0,0
34,"MTD","AMTD","APPROVED MID TRANSFER DATE",0,0,0
34,"NPD","NPD","NON PAROLE RELEASE DATE",0,0,0
3806,"1","aka","Akan",0,0,0
3806,"10","bul","Bulgarian",0,0,0
3806,"100","zul","Zulu",0,0,0
3806,"101","eng","English",0,0,0
3806,"102","wel","Welsh",0,0,0
3806,"103","sgn","Sign Languages",0,0,0
3806,"104","sgn","Sign Languages",0,0,0
